DIRECTORIO	SECUENCIA_ENCUESTA	SECUENCIA_P	NRO_ENCUESTA	ORDEN	P5000	P5010	P5016	P5016S5	P5016S6	P5016S2	P5016S3	P5016S4	P5666	P8526	P5022	P5024	P5030	P5041	P5046	P5046S1	P5046S1A1	P5046S1A2	P5046S1A3	P5046S1A4	P5046S1A5	P5046S1A6	P5046S1A7	P5012	P5012S1	P5012S2	P5012S3	P5012S4	P5012S5	P5012S6	P5012S7	P8530	P5047	P5069	P764	P8534	P8536	P1698	P1698S1	P5305	CANT_PERSONAS_HOGAR	I_HOGAR	I_UGASTO	PERCAPITA	I_OU	LLAVEHOG	FEX_C
5000120	1	1	591	1	5	4						1	1	1	1	1	1	1	2										1	1	1	1	1	1	2	1	2	4	1		2	2		1	5	3862500	3612500	903125	250000	50001201	908.895107993382
5000121	1	1	591	1	1	1				1	1		1	1	1	1	1	1	2										1	2	2	2	2	2	2	1	2	1	1		2	2		2	4	321666.666666667	321666.666666667	80416.6666666667	0	50001211	1011.5048601387
5000122	1	1	591	1	2	1						1	1	1	1	1	1	1	2										1	1	2	2	2	1	2	1	2	2	1		2	2		2	3	1034180	1034180	344726.666666667	0	50001221	1030.67698789566
5000123	1	1	591	1	5	3						1	1	1	1	2	1	1	2										1	1	1	1	1	2	2	1	2	2	1		2	1	6	1	7	2343333.33333333	2343333.33333333	334761.904761905	0	50001231	845.064125837573
5000124	1	1	591	1	3	2						1	1	1	1	1	1	1	2										1	1	1	2	2	2	2	1	2	2	1		2	2		2	3	1175000	1175000	391666.666666667	0	50001241	907.353985375846
5000125	1	1	591	1	3	1						1	1	1	2	1	2	1	2										1	1	2	2	2	2	2	1	2	1	1		2	2		2	1	800000	800000	800000	0	50001251	802.310548160254
5000126	1	1	591	1	4	2		1			1		1	1	1	1	1	1	2										1	1	1	2	2	2	2	1	2	2	1		2	2		2	5	1748750	1748750	349750	0	50001261	879.825405176909
5000127	1	1	591	1	3	2						1	1	1	2	1	1	1	2										1	1	1	2	1	2	2	1	2	1	1		2	1	5	2	3	663333.333333333	663333.333333333	221111.111111111	0	50001271	537.546044349581
5000128	1	1	591	1	3	2						1	1	1	2	1	1	1	2										1	1	2	2	1	2	2	1	2	1	3		2	2		2	1	421666.666666667	421666.666666667	421666.666666667	0	50001281	645.113086667291
5000129	1	1	591	1	2	1						1	1	1	1	1	1	1	2										2	1	1	1	2	2	2	1	2	1	3		2	2		2	2	300000	300000	150000	0	50001291	669.928296254917
5000130	1	1	591	1	3	2						1	1	1	2	1	1	1	2										2	1	1	2	2	2	2	1	2	1	1		2	2		1	6	1333333.33333333	1333333.33333333	222222.222222222	0	50001301	749.219988468813
5000131	1	1	591	1	2	2						1	1	1	2	1	1	1	1		1	1		1					1	2	2	2	1	2	2	1	2	1	2		2	2		2	2	600000	600000	300000	0	50001311	612.916599225021
5000132	1	1	591	1	4	3						1	1	1	1	1	1	1	2										1	1	1	1	1	2	2	9		6	1		2	2		2	8	2160500	2160500	270062.5	0	50001321	1022.97483770503
5000133	1	1	591	1	3	2						1	1	1	1	1	1	1	2										1	1	2	1	1	2	2	1	2	2	1		2	2		2	3	1126088.5	1126088.5	375362.833333333	0	50001331	804.203069249562
5000134	1	1	591	1	4	2						1	1	1	1	1	1	1	1		1	1							1	1	2	1	2	2	2	1	2	2	1		2	2		2	2	237000	237000	118500	0	50001341	753.419590992628
5000137	1	1	591	1	3	2				1	1		1	1	1	1	1	1	2										1	1	2	2	2	2	2	1	2	6	3		2	2		2	4	630000	630000	157500	0	50001371	630.191249916469
5000138	1	1	591	1	3	2			1				1	1	1	1	1	1	2										1	1	2	1	2	2	1	10		6	3		2	2		2	3	914833.333333333	914833.333333333	304944.444444444	0	50001381	762.777317326512
5000139	1	1	591	1	1	1			1				1	1	1	1	1	1	2										2	1	2	1	2	2	1	10		2	1		2	2		2	3	3511500	3511500	1170500	0	50001391	797.461922622876
5000140	1	1	591	1	3	1			1				1	1	1	1	1	1	1			1	1	1		1			1	2	2	2	2	1	2	1	2	1	1		2	2		1	2	25166666.6666667	25166666.6666667	12583333.3333333	0	50001401	598.844878197274
5000143	1	1	591	1	3	2						1	1	1	1	1	1	1	2										1	2	2	2	2	2	2	1	1	1	1		2	2		1	3	1725000	1725000	575000	0	50001431	939.246009905767
5000145	1	1	591	1	2	1			1				1	1	1	1	1	1	2										1	1	2	1	2	2	2	1	2	6	3		2	2		2	3	1337500	1337500	445833.333333333	0	50001451	904.561404609403
